canonical_form,surface_forms,unit_type,pos,sense_id,meaning_fr,meaning_fr_official,meaning_fr_alt,contexte_en,fr_status,definition_en,occurrences,book_count,dispersion,zipf_need,aoa_component,fr_opacity,sense_surprise,confidence,score_comprehension,score_reuse,score_default,needs_review,recovery_route,recovery_reason,candidate_senses,review_action,pknown_test,aoa_test,cefr_test,zipf_wordfreq_en,zipf_freqzipfus
plan,plan,word,v,plan.v.01,,prévoir,avoir l'intention de/projeter,"(To Richard) You balancing a job with all your studies . . . or just racking up the college loans? Ha, I’ve gone the loan route but I plan on paying them off as soon as possible . . . His grandmother—he’s getting a small trust when he turns forty—can I tell them? You want to know if you can tell them after you tell them? / Seriously?",auto_corroborated,have the will and intention to carry out some action,1,1,1,0.5,0.5,0.818,0.511,0.0,0.522,0.548,0.535,True,,,design.v.04/plan.v.01/plan.v.02/plan.v.03,,1.0,6.78,B1,5.29,5.163
appreciation,appreciation,word,n,appreciation.n.03,,reconnaissance,gratitude,"(The Blakes smile. They have inside understanding of this remark) “Dancing at weddings always scared the crap out of me, but now it doesn’t seem like such a big deal. This is taking me forever to type. Consider this my fond farewell. Erin go bragh. Dance more than I did. Drink less than I did. Go to church. Be good to everyone you love. I love you more than you’ll ever know.” They recover, some quiet tears of appreciation. They pass around the smashed pieces of peppermint; they each take a bite, one at a time. Then Erik goes to the kitchen for a beer. I’m buying a pig for my family. Richard starts to clear plates, goes to the kitchen.",auto_judged,an expression of gratitude,1,1,1,0.5,0.5,0.615,0.917,0.0,0.553,0.517,0.535,True,,,admiration.n.03/appreciation.n.01/appreciation.n.03/appreciation.n.05/taste.n.03,,0.99,8.5,B1,4.12,3.71
refer,Referring/referring/refers,word,v,mention.v.01,,faire référence à,mentionner/évoquer,"Dad. . . . fernall all sertrus inner . . . (Referring to the recliner) You might want something even bigger up here . . . This isn’t Scranton, I don’t need an oversized recliner in every room. || tissue paper . . . They recover. Brigid playfully collapses on the floor, a bit exhausted. Aimee moves closer to the window for reception. (To her blackberry, referring to a new message) Stop e-mailing me . . . (Getting the table ready, to Deirdre/Erik)",auto_strong,make reference to,6,6,6,0.5,0.5,0.6,0.672,0.0,0.555,0.515,0.535,True,,,consult.v.02/denote.v.02/mention.v.01/refer.v.02/refer.v.03/refer.v.04/refer.v.07,,0.99,9.18,A2,4.45,3.866
molding,molding,word,n,molding.n.03,,moulure,bordure,Bridge—hey . . . I keep noticing a lotta—you guys gotta caulk all along the molding down there . . . / there’s big gaps there . . .,auto_strong,a decorative recessed or relieved surface on an edge,1,1,1,0.5,0.5,0.571,1.0,0.0,0.558,0.511,0.535,True,,,modeling.n.02/mold.n.08/molding.n.01/molding.n.02/molding.n.03,,0.96,,,3.19,2.872
poke,pokes,word,v,intrude.v.03,,passer la tête,jeter un coup d'œil,"Erik enters the bathroom. Dad . . . ? Brigid pokes her head into the other room, sees the shut bathroom door. Did he sleep at all last night? Yeah he seems—",validated,search or inquire in a meddlesome way,1,1,1,0.5,0.5,0.778,0.583,0.0,0.527,0.542,0.534,True,,,intrude.v.03/jab.v.01/poke.v.03/poke.v.05/thump.v.03,,1.0,4.95,,3.6,3.768
shape,shape,word,v,determine.v.02,forme,,,"He picks up the dropped lantern from the floor, which has remained on, holds it up toward the direction of the stairs . . . As Erik approaches the staircase, its serpentine shape throws fantastic shadows on the walls. Then, from the depths of the basement hallway, a new sound. . . . click-clack, click-clack, click-clack . . . || the apartment’s architecture seems to have vanished . . . . . . even the indirect moonlight from the upstairs window is gone . . . . . . the only defined shape comes from the lighted doorway. Erik exits into the hallway and out of sight. A very long beat.",pending,shape or influence; give direction to,2,2,2,0.5,0.5,0.8,0.45,0.0,0.524,0.545,0.534,True,,,determine.v.02/shape.v.02/shape.v.03,,0.99,4.47,B1,4.72,4.48
fall,falling,word,a,dropping.s.01,,tombant,qui tombe/en chute,"Erik climbs the stairs, struggles for reception by the window. (Pushing her Ensure shake closer) He sees some falling ashes. Mom, you’re not hungry? Just It looks like light flurries.",auto_corroborated,coming down freely under the influence of gravity,1,1,1,0.5,0.5,0.818,0.5,0.0,0.52,0.548,0.534,True,,,dropping.s.01/falling.a.02/falling.s.01,,1.0,4.71,A2/B1,5.13,5.073
waste,waste,word,n,waste.n.01,déchet,,,"This test showed—it’s just dysplasia which means . . . it’s not cancer, but with colitis it’ll become cancer if they don’t take it out, so . . . You’ll lose the whole intestine? It cures the disease, though, so . . . but . . . yeah . . . they make a hole in your abdomen so the waste can, you know . . . Do Mom and Dad know? No, I don’t want to discuss it at dinner and . . . I’m okay, I’m mostly just like . . . uhhhh, how am I gonna find another girlfriend? . . . / I’m serious . . .",pending,any materials unused and rejected as worthless or unwanted,1,1,1,0.5,0.5,0.818,0.5,0.0,0.52,0.548,0.534,True,,,barren.n.01/thriftlessness.n.01/waste.n.01/waste.n.02/waste.n.05,,1.0,6.5,B1,4.81,4.726
belly,belly,word,v,belly.v.01,ventre,,,". . . living under bridges . . . . . . if you shat out your ears—if they re-routed your colon to your ears I’d still marry you. . . . uh-huh . . . when do I even—do I wait for the third date to be like: “Just FYI, I shit out of a hole in my belly.” Is that a fifth date thing? Sorry you have to go through all that. Erik resolves to go upstairs, but stops near the top of the staircase when he realizes the girls are talking about him.",pending,swell out or bulge out,1,1,1,0.5,0.5,0.818,0.5,0.0,0.52,0.548,0.534,True,,,belly.v.01,,1.0,4.05,A2,4.1,4.192
daze,dazed,word,a,dazed.s.02,,étourdi,hébété/groggy,"(A toast, struggling not to laugh) May the Virgin and her Child lift all of your latches . . . They all ad-lib “cheers,” “amen,” “here here,” etc. . . . Erik lovingly disapproves of Aimee’s joke, notices Momo’s a bit dazed, her neck is not at a comfortable angle. Okay, this isn’t gonna [work]—she’s gonna be dozing off soon, / lemme get her settled— Want me to—",auto_judged,stunned or confused and slow to react (as from blows or drunkenness or exhaustion),1,1,1,0.5,0.5,0.818,0.5,0.0,0.52,0.548,0.534,True,,,dazed.s.01/dazed.s.02,,1.0,10.0,B1,2.89,2.754
ache,aching,word,v,ache.v.03,,faire mal,faire souffrir/être douloureux,"favorite—we have to, right? . . . Of course we’re gonna sing it! Rich has been warned. Under the following dialogue, Erik wanders into the adjoining room to grab a private moment for himself; he rubs his aching lower back, takes a deep breath. In the other room, Richard pours champagne into the plastic cups. We only have plastic cups, but the good news is the bar is set very low if we ever host again.",auto_strong,be the source of pain,1,1,1,0.5,0.5,0.692,0.75,0.0,0.539,0.529,0.534,True,,,ache.v.02/ache.v.03/hurt.v.06,,0.99,5.79,B2,3.43,3.399
bless,Bless/bless,word,v,bless.v.01,,bénir,,"that . . . Richard ascends the staircase with a bottle of champagne and plastic cups. Hey, thought we could have a champagne toast up here? Brigid claims we need to bless the upstairs and downstairs . . . That is good Irish tradition, Should we sing Momo’s || Okay . . . hands . . . They bow their heads, hold hands for grace, a little less unified than before. Richard doesn’t know the grace but participates in the hand-holding. Bless us oh Lord . . . . . . and these Thy gifts, which we are about to receive, from Thy bounty, through Christ our Lord, amen. They have all noticed that Momo joined in. They smile, thrilled.",auto_strong,give a benediction to,4,4,4,0.5,0.5,0.8,0.333,0.0,0.523,0.545,0.534,True,,,bless.v.01/bless.v.02/bless.v.03/consecrate.v.04,,1.0,5.33,B1,4.17,4.544
hang,hanging,word,v,hang.v.01,,pendre,être suspendu,"He notices a shadow move in the alley—what was it? He gets the LED lantern from the other room and walks back to the window to get a better look, but it’s so dark outside, the glass mostly reflects his image. He stares for a few beats. DOWNSTAIRS: A few pots and pans hanging on the edge of the drying rack (just visible in the kitchen alley) fall and crash to the floor. (Calling down) Brigid . . . ?",auto_corroborated,be suspended or hanging,1,1,1,0.5,0.5,0.8,0.527,0.0,0.522,0.545,0.533,True,,,attend.v.05/cling.v.03/hang.v.01/hang.v.02/hang.v.03/hang.v.04/hang.v.05/hang.v.06/hang.v.08/hang.v.10/hang.v.11/hang.v.12/hang.v.13/hang.v.14/hang.v.15,,1.0,6.68,B1,4.6,5.169
joke,joke,word,v,joke.v.01,plaisanter,plaisanter,blaguer/badiner,"(Arriving downstairs, calling up) Deirdre pulls Erik aside in the other room. They have a hushed/indecipherable . . . I like to joke, I joke that this apartment is like living in a bomb shelter. disagreement, at the end of which, Erik reassures her. (Descending the stairs) || (Arriving downstairs, calling up) Deirdre pulls Erik aside in the other room. They have a hushed/indecipherable . . . I like to joke, I joke that this apartment is like living in a bomb shelter. disagreement, at the end of which, Erik reassures her. (Descending the stairs)",auto_strong,tell a joke; speak humorously,3,3,2,0.5,0.5,0.818,0.333,0.0,0.518,0.548,0.533,True,,,joke.v.01/joke.v.02,,1.0,5.2,B1,4.68,4.863
amazing,Amazing/amazing,word,a,amazing.s.01,,incroyable,étonnant/stupéfiant,"Except for the thousands of New Yorkers who have duplex apartments— I knew you were gonna / say that— Oh come on, I love it . . . / it’s amazing . . . We all love it . . . Me too, but . . . why are there || Brigid opens her gift, it’s a small shiny pink pig. . . . ah, it’s a peppermint pig! Rich, check it out . . . Amazing . . . Hey, holler if we can do anything, okay? (Going up the stairs)",auto_strong,surprising greatly,3,3,3,0.5,0.5,0.733,0.5,0.0,0.531,0.535,0.533,True,,,amazing.s.01/amazing.s.02,,1.0,5.22,B1,5.1,4.912
volunteer,volunteering,word,v,volunteer.v.03,,faire du bénévolat,être bénévole,"Mom, you’re talking with your mouth full. Beat. . . . I, uh, started volunteering for—Father Quinn told me about, and don’t roll your eyes, Erik . . . I’m not saying a word. . . . right in Scranton there’s a whole community of refugees from Bhutan . . . || You have / no idea . . . Be quiet—you have no idea—these people have nothing . . . they’re all just looking to learn English, to find work—we think we’ve got nothing, but man . . . That’s great you’re volunteering . . . Thanks, Rich. And how are you, Mom. Aimee didn’t ask how the Republic of Bhutan was doing—",auto_corroborated,do volunteer work,2,2,2,0.5,0.5,0.636,0.75,0.0,0.544,0.52,0.532,True,,,volunteer.v.01/volunteer.v.02/volunteer.v.03,,1.0,6.89,B1,4.28,3.969
trap,traps,word,n,trap.n.01,piège,,,I should have included insect (To Brigid) traps in the care-package— I had roaches in my first Philly apartment . . .,pending,a device in which something (usually an animal) can be caught and penned,1,1,1,0.5,0.5,0.778,0.556,0.0,0.523,0.542,0.532,True,,,ambush.n.01/bunker.n.01/trap.n.01/trap.n.02/trap.n.03/trap.n.04/trap.n.06/trap.n.07,,1.0,6.44,A2,4.33,4.377
exit,exit,word,v,exit.v.02,sortie,,,"Yeah, coming . . . Aimee wheels Momo out of the apartment, exiting with Momo’s barely discernable mumbling trailing . . . Deirdre goes to exit, but stops, remembering something. (To Erik, calling down) Hey, can you grab Mom’s blanket and the pan we brought?",pending,lose the lead,1,1,1,0.5,0.5,0.8,0.5,0.0,0.518,0.545,0.531,True,,,die.v.01/exit.v.01/exit.v.02,,1.0,6.68,B1,4.35,4.192
fuck,fucking,word,n,fuck.n.01,putain,,,"He lives in a trailer, / you think— That doesn’t mean he has no money— That’s exactly what it means, / grow up . . . [fucking baby] . . . Relax, I’m just . . . [I’m Don’t get upset with her, hey",pending,slang for sexual intercourse,1,1,1,0.5,0.5,0.8,0.5,0.0,0.518,0.545,0.531,True,,,fuck.n.01,,0.98,11.22,,5.39,5.578
piss,Pissed,word,a,annoyed.s.01,,énervé,vexé/irrité,"(Mumbled) . . . you can never come back . . . you can never come back . . . Deirdre’s a little stung. Erik is drawn to the window, studies the surroundings. You can come back any time, Momo. It’s her latest phrase-of-the-day . . . the doctor says it’s normal, the repeating . . . || Thanks, Rich. Brigid goes to the kitchen, frustrated. Richard follows her. We can glimpse them having a controlled-but-heated conversation. Erik raises his eyebrows, tries to make light of this. Anything I say makes her [annoyed] . . . Yeah? Well who does she remind you of? You.",auto_strong,aroused to impatience or anger,1,1,1,0.5,0.5,0.8,0.5,0.0,0.518,0.545,0.531,True,,,annoyed.s.01/besotted.s.01,,1.0,7.56,,4.17,4.372
oman,omen,word,n,omen.n.01,présage,présage,signe avant-coureur/augure,stuff hidden from yourself? so passing through one . . . [I dunno] . . . could be . . . a favorable omen . . . you know? Is it a fortune-telling school you’re at? / —“a favorable omen”?— (Smiling) || so passing through one . . . [I dunno] . . . could be . . . a favorable omen . . . you know? Is it a fortune-telling school you’re at? / —“a favorable omen”?— (Smiling) No . . . / no it is not . . .,auto_strong,a sign of something about to happen,1,1,1,0.5,0.5,0.8,0.5,1.0,0.518,0.545,0.531,False,,,omen.n.01,,1.0,12.05,,3.36,
font,fonts,word,n,font.n.01,police,police,police d'écriture/police de caractères,"Why—what did it say? She forwarded a Scientific American article about how . . . nothing’s solid; when you’re touching a table, you’re really feeling its molecules bouncing against—we’re not even solid, we’re, what . . . electrons / pushing back against everything . . . ? Electrons, yeah . . . it also had vague religious overtones, there was a poem at the bottom in about ten fonts about how we already are a part of everything, how— Hey don’t make fun of your mom, / no, I’m serious— Dad, come on, it was a little crazy—",auto_strong,a specific size and style of type within a type family,1,1,1,0.5,0.5,0.8,0.5,0.0,0.518,0.545,0.531,True,,,baptismal_font.n.01/font.n.01,,0.99,11.5,,3.8,2.982
warp,warped,word,v,heave.v.07,,se gondoler,se déformer/se gauchir,"A turn-of-the-century ground-floor/basement duplex tenement apartment in New York City’s Chinatown. It’s just big enough to not feel small. It’s just small enough to not feel big. The two floors are connected via a spiral staircase. Each floor has its own entrance. The apartment’s pre-war features have been coated in layers of faded off-white paint, rendering the space curiously monotone. The rooms are worn, the floors are warped, but clean and well kept. The layout doesn’t adhere to any sensible scheme; the result of a mid-century renovation in which two autonomous apartments were combined. UPSTAIRS: two rooms divided by an open entryway. The room with the staircase also has the apartment’s lone, large deep-set window with bars. The window gets no direct sunlight. An urban recliner is the only piece of furniture upstairs. The other room has a door that leads to the duplex’s sole bathroom.",auto_judged,"bend out of shape, as under pressure or from heat",1,1,1,0.5,0.5,0.714,0.667,0.0,0.53,0.532,0.531,True,,,falsify.v.01/heave.v.07,,1.0,8.89,,3.63,3.741
mean,meaning,word,n,meaning.n.01,sens,sens,signification,"The fear of old age The fear of death The subject of the “uncanny” . . . belongs to all that is terrible—to all that arouses dread and creeping horror . . . The German word [for “uncanny”], unheimlich, is obviously the opposite of heimlich . . . meaning “familiar,” “native,” “belonging to the home”; and we are tempted to conclude that what is “uncanny” is frightening precisely because it is not known and familiar . . . [But] among its different shades of meaning the word heimlich exhibits one which is identical with its opposite, unheimlich . . . on the one hand, it means that which is familiar and congenial, and on the other, that which is concealed and kept out of sight. The mask. Look at the mask! Sand, crocodile, and fear above New York. || Rich hasn’t been sleeping much either, he’s been having weird dreams about—he thinks they’re related to the stress of the move . . . Oh man . . . . . . yeah, and he’s been keeping me up while he tries to unravel their meaning. Why’s he doing that? He took one psychology course last year and suddenly he’s an armchair psychiatrist.",auto_strong,the message that is intended or expressed or signified,2,2,1,0.5,0.5,0.5,1.0,0.0,0.561,0.5,0.531,True,,,meaning.n.01/meaning.n.02,,1.0,4.0,B2,5.53,6.094
babe,babe,word,n,baby.n.01,chéri,,,"I will, don’t smash that pig without me . . . We won’t . . . Poor baby . . . And what is this other . . . (Opening the other wrapped object) || You don’t know how good you have it . . . Stop! The eyeless sorceress has all my support . . . Last week I dreamed I fell into an ice-cream cone made of grass and became a baby. Richard, / are you kidding me with the sharing . . . What?—I can share it if I want / —I restarted my life . . .",pending,a very young child (birth to 1 year) who has not yet begun to walk or talk,2,2,2,0.5,0.5,1.0,0.0,0.0,0.486,0.575,0.531,True,,,baby.n.01/baby.n.05,,0.99,6.61,,4.11,4.551
beat,beat,word,n,beat.n.06,,,,"Mom, I will absolutely keep this in a drawer somewhere, / thank you. Yeah, well . . . I feel better knowing you have it. Small beat. I thought maybe Brigid was making the pig-smash up, but— Oh no, it’s real . . . || Erik . . . Yeah, Dad, I’ll get therapy from my mother-in-law, that’s an awesome idea. Small beat. She’s not your mother-in-law unless you get married— Mom . . . [don’t] . . .",pending,the sound of stroke or blow,2,2,2,0.5,0.5,0.5,1.0,0.0,0.561,0.5,0.531,True,,,beat.n.01/beat.n.04/beat.n.06/beat.n.08/beat.n.09/beat.n.10/beatnik.n.01/meter.n.03/pulse.n.02/rhythm.n.01,,0.99,6.15,B2,5.01,5.119
peppermint,peppermint,word,n,peppermint.n.01,menthe poivrée,,,"Mom, get over here, we’re pig-smashing. It’s very simple . . . we each pass it around, say what we’re thankful for, then we smash the pig . . . And then we each eat a piece of the peppermint for good luck. That is the weirdest tradition— Please, that’s the weirdest . . . ? Wait until you spend a Christmas with us . . . || (The Blakes smile. They have inside understanding of this remark) “Dancing at weddings always scared the crap out of me, but now it doesn’t seem like such a big deal. This is taking me forever to type. Consider this my fond farewell. Erin go bragh. Dance more than I did. Drink less than I did. Go to church. Be good to everyone you love. I love you more than you’ll ever know.” They recover, some quiet tears of appreciation. They pass around the smashed pieces of peppermint; they each take a bite, one at a time. Then Erik goes to the kitchen for a beer. I’m buying a pig for my family. Richard starts to clear plates, goes to the kitchen.",pending,herb with downy leaves and small purple or white flowers that yields a pungent oil used as a flavoring,2,2,2,0.5,0.5,0.75,0.5,0.0,0.524,0.537,0.531,True,,,peppermint.n.01/peppermint.n.03/red_gum.n.03,,1.0,5.7,,3.09,3.149
scary,scarier/scary,word,a,chilling.s.01,,effrayant,sinistre/terrifiant,"I don’t write them down in the morning . . . See? . . . there you go . . . Well whatever it was, couldn’t a been scarier than the— (Laughing) —I made him watch this—what was it called, Erik? . . . / the movie . . . ? || —but on their planet— them monsters— —on their planet, the scary stories they tell each other . . . they’re all about us. The horror stories for the monsters are all about humans. / I love that . . . (Joking, to Erik) (To Richard)",auto_strong,provoking fear terror,4,4,4,0.5,0.5,0.692,0.5,0.0,0.532,0.529,0.53,True,,,chilling.s.01,,1.0,4.26,B1,4.37,4.418
insane,insane,word,a,insane.a.01,fou,,,"They were twenty-five dollars. That’s a lot of money! For a candle?! That’s insane, you should get five candles for that . . .",pending,afflicted with or characteristic of mental derangement,1,1,1,0.5,0.5,1.0,0.083,0.0,0.485,0.575,0.53,True,,,harebrained.s.01/insane.a.01,,0.99,7.96,B1,4.4,4.587
balance,balancing,word,v,poise.v.04,concilier,,,"They eat. Erik returns to the table after getting Momo settled. (To Richard) You balancing a job with all your studies . . . or just racking up the college loans? Ha, I’ve gone the loan route but I plan on paying them off as soon as possible . . . His grandmother—he’s getting a small trust when he turns forty—can I tell them?",pending,hold or carry in equilibrium,1,1,1,0.5,0.5,0.625,0.833,0.0,0.542,0.519,0.53,True,,,balance.v.01/balance.v.02/balance.v.04/poise.v.04,,0.99,9.89,B2,4.76,4.175
improvement,improvement,word,n,improvement.n.03,amélioration,amélioration,progrès,"Are you kidding me? (Reading) “Brigid is a talented musician and composer; she served as a TA in my music theory class her senior year and many of the students noted how approachable and helpful she was to them in navigating the course. Initially, I must confess, I found Brigid’s compositions almost willfully opposed to specificity and urgency. In her senior year, however, she showed marked improvement. And while her orchestral pieces still do not have the range or originality of her contemporaries, she always displays technical proficiency and great verve.” [What does that even mean?!] “Her hard work and positive attitude have made her an asset to the music department.” (Eyes watering) . . . why wouldn’t he respect me enough to say he couldn’t do it?",auto_strong,a condition superior to an earlier condition,1,1,1,0.5,0.5,0.652,0.778,0.0,0.537,0.523,0.53,True,,,improvement.n.01/improvement.n.02/improvement.n.03,,0.99,8.05,B1,4.49,3.591
ear,ear/ears,word,n,ear.n.01,oreille,oreille,,". . . just skin where her eyes and mouth should be, / you know— Ewww— . . . yeah, skin over the holes in her ears, over everything . . . A thud from above. Everyone jumps— Whoa, / whoa, how’s that for timing? || Stop . . . . . . living under bridges . . . . . . if you shat out your ears—if they re-routed your colon to your ears I’d still marry you. . . . uh-huh . . . when do I even—do I wait for the third date to be like: “Just FYI, I shit out of a hole in my belly.” Is that a fifth date thing? Sorry you have to go through all that.",auto_strong,the sense organ for hearing and equilibrium,4,4,3,0.5,0.5,0.8,0.28,0.0,0.515,0.545,0.53,True,,,auricle.n.02/ear.n.01/ear.n.02/ear.n.04/ear.n.05,,0.99,3.63,A1,4.43,4.505
direct,directed,word,v,address.v.03,adresse,,,"You can never come back . . . you can never come back / . . . you can never come back . . . cannevery you come back . . . All right . . . you’re all right, Mom . . . Momo’s mumbling is not directed to anyone—her primary focus is down, toward the floor, lost; she is passive and disconnected. What’s she saying? She’s—[who the hell knows]—",pending,put an address on (an envelope),1,1,1,0.5,0.5,0.538,1.0,0.0,0.554,0.506,0.53,True,,,address.v.03/aim.v.01/calculate.v.05/conduct.v.02/direct.v.01/direct.v.03/direct.v.04/direct.v.09/lead.v.01/mastermind.v.01/send.v.01/steer.v.01/target.v.01,,0.99,9.68,B1,4.91,4.381
predict,predict,word,v,bode.v.01,prévoir,,,"DOWNSTAIRS: Deirdre wheels Momo around the apartment. (To Brigid and Richard, referring to Momo) She had a good day yesterday, you know? It’s hard to predict now how she’s gonna be . . . this is definitely her last big trip . . . How are you doing? Is that why you aren’t sleeping?— I’ll sleep tonight—",pending,indicate by signs,1,1,1,0.5,0.5,0.571,0.933,0.0,0.548,0.511,0.53,True,,,bode.v.01/predict.v.01,,0.99,8.0,A2,4.08,3.601
scared,scared,word,a,frightened.s.01,,effrayé,qui a peur/apeuré,"Thank God he’s in grad school. Yeah, no it makes sense . . . you should meet my boss . . . no teeth on his back, but man . . . But monsters aren’t scared of us, / so why would— Sure they are, it’s always a man driving a stake through the heart of the vampire—or if you’re a zombie, you eat people but your biggest threat is what?—getting killed by an enterprising human, / right? I get it, Rich . . . || Erik returns, guiding Momo back to her wheelchair. Deirdre helps. Momo is fine. . . . yeah, she’s okay, she almost burnt herself on the stove, God . . . You were more scared than she was, you okay? / You’re okay, Mom . . . Yeah, I shouldn’t have left her . . . She’s okay / . . . I’ll clean up in here . . .",auto_strong,made afraid,5,5,5,0.5,0.5,0.667,0.5,0.0,0.534,0.525,0.529,True,,,frightened.s.01,,1.0,3.79,B1,4.6,5.125
bulb,bulb/bulbs,word,n,light_bulb.n.01,ampoule,ampoule,lampe électrique,"(Calling down) They’re coming, they’re coming . . . Richard . . . Rich . . . babe, do we have a spare bulb? The light up here is out. (Aside, to Deirdre) (Calling up) || Oh great . . . welcome to New York, guys . . . It’s just a light bulb . . . we’ll live . . . Brigid goes in search of a spare bulb. Erik follows her. (To Brigid, who is still angry with him) Hey, hey, I don’t wanna see you bent outta shape over something you can fix. / The Blakes bounce back, that’s what we do.",auto_strong,electric lamp consisting of a transparent or translucent glass housing containing a wire filament (usually tungsten) that emits light when heated by electricity,4,4,4,0.5,0.5,0.636,0.6,0.0,0.538,0.52,0.529,True,,,bulb.n.01/bulb.n.03/bulb.n.04/bulb.n.06/light_bulb.n.01/medulla_oblongata.n.01,,0.99,6.56,A2,3.66,3.595
lift,lift/lifting,word,v,raise.v.02,,soulever,lever/relever,"She’s calm now, Rich, but . . . man—when she has a fit, it’s like watching her turn into someone else, you know? . . . Can I help you get her [situated] . . . ?— Yeah, just, lift her feet there . . . Richard moves her feet into a more comfortable position. Erik is on his way downstairs. Get your hands off of my mother, / you bastard!— || No I’m good. (To Richard) Would you help her get Momo settled upstairs, / I don’t want her lifting her by herself . . . Sure . . . Dad, I said I’d help . . .",auto_strong,raise from a lower to a higher position,2,2,2,0.5,0.5,0.778,0.426,0.0,0.517,0.542,0.529,True,,,airlift.v.01/face-lift.v.01/hoist.v.01/lift.v.02/lift.v.03/lift.v.05/lift.v.10/lift.v.11/lift.v.13/lift.v.17/lift.v.18/lift.v.19/lift.v.20/lift.v.21/lift.v.22/lift.v.23/pilfer.v.01/plagiarize.v.01/raise.v.02/raise.v.25/revoke.v.02/rise.v.01/rise.v.04/rustle.v.02,,0.99,4.74,B1,4.5,4.533
rest,rest,word,v,rest.v.02,,se reposer,faire une pause/souffler,"Yeah, it better be me. Her pale white cheeks her skin of snow, I will not rest till she comes to call Lay down your fears and raise your glass. May peace and joy be with you all. || Yeah, no I’m on it, this week I’ll put some up. Richard descends the staircase with the paper towels. You feeling good, Mom? . . . now you can rest . . . there you go . . . (Seeing Richard clean up the last of the spill) Thanks, Rich . . . we got most of it . . .",auto_corroborated,take a short break from one's activities in order to relax,2,2,2,0.5,0.5,0.571,0.833,0.0,0.547,0.511,0.529,True,,,lie.v.06/perch.v.01/pillow.v.01/rest.v.01/rest.v.02/rest.v.03/rest.v.05/rest.v.07/rest.v.08/rest.v.11/stay.v.01,,0.99,4.22,B1,5.23,5.328
investigate,investigate/investigating,word,v,investigate.v.02,,enquêter,faire des recherches/examiner,"Yeah, I know you did. Deirdre enters the bathroom. Brigid heads for the staircase. DOWNSTAIRS: Erik looks around, investigating. (Handing Erik a beer) Beer? || Brigid . . . ? No answer. As Erik descends the stairs to investigate . . . The shadow quietly reemerges in the alley, then disappears into the darkness. Erik arrives downstairs, where",auto_strong,conduct an inquiry or investigation of,2,2,2,0.5,0.5,0.684,0.607,0.0,0.53,0.528,0.529,True,,,investigate.v.01/investigate.v.02,,1.0,9.0,B2,4.31,3.977
couch,couch,word,n,sofa.n.01,canapé,canapé,divan,"This is a fancy chair . . . Erik, check out this fancy chair . . . I thought all your furniture was on the moving truck. It is—Richard’s parents gave us that—a couch, too . . . we’re not sure if the living area’ll be up here or—this might become the bedroom . . . (Noticing the staircase) I can’t believe you have a downstairs . . . || Dad! Aimee! UPSTAIRS: Aimee returns to the bathroom. Erik heads for the stairs. (Lovingly setting up Momo on the couch) She’s calm now, Rich, but . . . man—when she has a fit, it’s like watching her turn into someone else, you know? . . . Can I help you get her [situated] . . . ?—",auto_strong,an upholstered seat for more than one person,13,13,13,0.5,0.5,0.818,0.0,0.0,0.509,0.548,0.529,True,,,couch.n.02/couch.n.03/sofa.n.01,,0.98,3.74,A1,4.17,4.37
halt,halts,word,v,stop.v.03,,empêcher,arrêter/bloquer,"Stop! Dad! Oh now you wanna be compassionate?! You don’t know how good you have it . . . Stop! The eyeless sorceress has all my support . . . Last week I dreamed I fell into an ice-cream cone made of grass and became a baby. Richard, / are you kidding me with the sharing . . . || I’m gonna ask that woman to stop banging her fucking feet. Brigid exits. This is worse than if she yelled at Erik. Richard stops Erik from following her. Hey, let me . . . . . . nevery where do we go",auto_strong,stop from happening or developing,1,1,1,0.5,0.5,0.636,0.789,0.0,0.537,0.52,0.529,True,,,halt.v.01/stem.v.03/stop.v.01/stop.v.03,,0.99,8.11,,3.93,4.052
rest,rest,word,v,rest.v.05,se reposer,,,"DOWNSTAIRS: Aimee unwinds with a glass of wine. How’s the law firm, Aimee? Busy. M&A transactions are not a source of joy in my life, so—I’m glad you don’t get cell reception down here, my blackberry needs the rest. She’s an all-star there . . . Dad, ugh, no—I was informed last month I’m no longer on the partner track, which—",pending,be at rest,1,1,1,0.5,0.5,0.571,0.917,0.0,0.546,0.511,0.528,True,,,lie.v.06/perch.v.01/pillow.v.01/rest.v.01/rest.v.02/rest.v.03/rest.v.05/rest.v.07/rest.v.08/rest.v.11/stay.v.01,,0.99,4.22,B1,5.23,5.328
clutch,clutches,word,v,seize.v.01,,saisir,agripper/empoigner,"Is he recovering from a panic attack? [What’s happening to me? . . . What’s wrong with me? This cannot be happening to me . . . oh God, how could I have gotten that worked up?] DOWNSTAIRS: Erik can’t quite move yet; he clutches a support beam or sits in a chair, taking steady breaths, trying to recover. Alone, Erik collects himself, still unsure of what just transpired. He goes into the kitchen and splashes some water on his face.",auto_strong,take hold of; grab,1,1,1,0.5,0.5,1.0,0.059,0.0,0.482,0.575,0.528,True,,,cling_to.v.01/seize.v.01/seize.v.07,,1.0,10.24,,3.88,3.399
